,value
2020-03-31,100.0
2020-06-30,120.16172948089978
2020-09-30,131.02238027024816
2020-12-31,146.90036143198296
2021-03-31,156.2311795874931
2021-06-30,169.2909752800875
2021-09-30,170.26182737706839
2021-12-31,189.10299810728907
2022-03-31,180.37689960341785
2022-06-30,151.31772426855187
2022-09-30,143.8559984937859
2022-12-31,154.732829720972
2023-03-31,166.273149293013
2023-06-30,180.70630645800918
2023-09-30,174.8800058471686
2023-12-31,195.23539696115105
